ID,Area,Mean,Min,Max,X,Y
747,0,49,49,49,703.333,30.667
748,0,69,69,69,726,44.667
749,0,29,29,29,695.333,50.667
750,0,31,31,31,758,26.667
751,0,38,38,38,728.667,34
752,0,54,54,54,729.333,12.667
753,0,36,36,36,734,6.667
754,0,58,58,58,710.667,4
755,0,41,41,41,774,8.667
756,0,28,28,28,790,28
757,0,56,56,56,818,4
758,0,40,40,40,619.333,37.333
759,0,21,21,21,618,64
760,0,23,23,23,902,24
761,0,27,27,27,1155.333,54.333
762,0,31,31,31,1187.333,49
763,0,42,42,42,1209.333,56.333
764,0,30,30,30,1162,64.333
765,0,39,39,39,1153.333,71
766,0,30,30,30,1144.667,80.333
767,0,45,45,45,1146.667,128.333
768,0,22,22,22,1148.667,151
769,0,36,36,36,1185.333,149
770,0,45,45,45,1161.333,194.333
771,0,35,35,35,1156,186.333
772,0,26,26,26,1137.333,185
773,0,26,26,26,1156,233
774,0,24,24,24,1140.667,233
775,0,44,44,44,1135.333,218.333
776,0,32,32,32,1136.667,251
777,0,37,37,37,1144.667,265.667
778,0,33,33,33,1142.667,269.667
779,0,50,50,50,1154.667,267
780,0,24,24,24,1149.333,278.333
781,0,24,24,24,1168,259.667
782,0,55,55,55,1183.333,256.333
783,0,29,29,29,1193.333,273
784,0,45,45,45,1214,291.667
785,0,36,36,36,1217.333,300.333
786,0,42,42,42,1196,303.667
787,0,38,38,38,1192,311
788,0,45,45,45,1178.667,298.333
789,0,34,34,34,1179.333,288.333
790,0,43,43,43,1144,304.333
791,0,29,29,29,1150,306.333
792,0,51,51,51,1172.667,336.333
793,0,50,50,50,1194,337.667
794,0,23,23,23,1186,330.333
795,0,48,48,48,1146.667,341.667
796,0,23,23,23,1112.667,379
797,0,21,21,21,1134,377
798,0,22,22,22,1152.667,373
799,0,40,40,40,1164,385.667
800,0,20,20,20,1176,387.667
801,0,36,36,36,1204,367.667
802,0,27,27,27,1194.667,361
803,0,34,34,34,1222.667,382.333
804,0,43,43,43,1230,367.667
805,0,35,35,35,1236.667,361
806,0,37,37,37,1222,337
807,0,36,36,36,1274,335.667
808,0,22,22,22,1288,338.333
809,0,23,23,23,1325.333,352.333
810,0,31,31,31,1324,329
811,0,28,28,28,1301.333,319.667
812,0,40,40,40,1298,305
813,0,42,42,42,1290,302.333
814,0,31,31,31,1268.667,313.667
815,0,41,41,41,1290.667,389.667
816,0,19,19,19,1275.333,374.333
817,0,29,29,29,1271.333,388.333
818,0,31,31,31,1271.333,394.333
819,0,27,27,27,1298.667,406.333
